symbol,in_portfolio,action,add_shares,price_run
ACCO,0,New,3,4.06
ADBE,0,New,3,360.37
ADV,0,New,3,1.56
AMRK,0,New,3,26.65
AMTM,0,New,3,22.57
ARCO,0,New,3,6.92
ARDT,1,Increase,3,13.26
ARX,0,New,3,14.82
ASIX,0,New,3,19.46
BHVN,0,New,3,15.0
BIIB,0,New,3,137.37
BILL,0,New,3,54.18
BMRN,0,New,3,53.85
BRZE,0,New,3,31.58
BTM,0,New,3,3.54
BWMX,1,Increase,3,12.82
CHMI,0,New,3,2.52
CIVI,0,New,3,33.29
CLDX,0,New,3,26.14
CLS,0,New,3,243.79
CMPS,0,New,3,5.8
CON,0,New,3,20.82
COP,1,Increase,3,98.48
COUR,1,Increase,3,11.72
CTRA,1,Increase,3,23.83
CVE,0,New,3,17.77
CVNA,0,New,3,369.29
CVS,1,Increase,3,75.77
CVX,0,New,3,160.16
CWAN,0,New,3,18.09
CWT,0,New,3,45.67
DDOG,0,New,2,139.07
FINV,0,New,2,7.55
FLOC,0,New,2,16.01
FSLR,0,New,2,220.02
GDEV,0,New,2,26.0
GDYN,0,New,2,7.99
GE,0,New,2,294.98
GOOGL,0,New,2,246.54
GPCR,0,New,2,25.0
HAL,0,New,2,25.11
HBM,0,New,2,14.16
HLF,0,New,2,8.87
HQY,0,New,2,96.53
HRTG,0,New,2,24.86
HTO,0,New,2,48.41
KNF,0,New,2,73.58
KO,0,New,2,65.67
KOP,0,New,2,28.41
KRO,0,New,2,5.73
LFST,0,New,2,5.42
LKQ,0,New,2,30.3
LNTH,0,New,2,50.61
LVO,0,New,2,4.82
LW,0,New,2,55.22
MA,0,New,2,565.13
MANH,0,New,2,211.56
MATV,0,New,2,11.41
MAX,1,Increase,2,12.04
NESR,0,New,2,10.53
NFLX,0,New,2,1210.61
NKE,0,New,2,69.31
NRDS,0,New,2,11.01
NX,0,New,2,13.8
OMSE,0,New,2,4.045
PACS,0,New,2,13.98
PAR,0,New,2,39.88
PEP,0,New,2,140.44
PFE,0,New,2,23.76
PFGC,0,New,2,104.3
PG,0,New,2,152.5
SLP,0,New,2,14.89
SLVM,0,New,2,43.06
SMCI,0,New,2,45.82
SMP,0,New,2,41.12
SNDX,0,New,2,15.68
SNPS,0,New,2,487.76
SPB,0,New,2,53.6
SPGI,1,Increase,2,487.18
SPNT,0,New,2,18.32
SPRY,0,New,2,9.8
SSTK,0,New,2,21.05
STZ,0,New,2,132.49
TBLA,0,New,2,3.51
UBER,0,New,2,98.45
UHS,0,New,2,200.85
UIS,0,New,2,3.98
UNH,0,New,2,344.08
UPWK,0,New,2,19.15
UTL,0,New,2,46.97
UTZ,0,New,2,12.12
VCEL,0,New,2,30.23
VERA,0,New,2,28.2
W,0,New,2,86.82
WBA,0,New,2,11.98
WDAY,0,New,2,246.67
