symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_trades_100
AAPL,1,Keep in portfolio,23,0,23,255.46,5875.58,0.0,5875.58,0.06331589974165354,0.0
ALIT,1,Keep in portfolio,700,0,700,3.25,2275.0,0.0,2275.0,0.024515651546274886,0.0
AMZN,1,Keep in portfolio,50,0,50,219.78,10989.0,0.0,10989.0,0.11841867905143504,0.0
AVGO,1,Keep in portfolio,13,0,13,334.53,4348.889999999999,0.0,4348.889999999999,0.046864119495859065,0.0
AXON,1,Keep in portfolio,2,0,2,708.84,1417.68,0.0,1417.68,0.01527707643258153,0.0
BWMX,1,Keep in portfolio,80,0,80,12.82,1025.6,0.0,1025.6,0.01105197900037781,0.0
COP,1,Keep in portfolio,25,0,25,98.48,2462.0,0.0,2462.0,0.026530784222825832,0.0
COUR,1,Keep in portfolio,200,0,200,11.72,2344.0,0.0,2344.0,0.025259203175590477,0.0
CRTO,1,Keep in portfolio,150,0,150,22.25,3337.5,0.0,3337.5,0.035965269026677994,0.0
CTRA,1,Keep in portfolio,170,0,170,23.83,4051.1,0.0,4051.1,0.04365510152928096,0.0
CVS,1,Keep in portfolio,35,0,35,75.77,2651.95,0.0,2651.95,0.02857770642555766,0.0
DOX,1,Keep in portfolio,24,0,24,81.63,1959.12,0.0,1959.12,0.021111693739489252,0.0
INSW,1,Keep in portfolio,22,0,22,47.22,1038.84,0.0,1038.84,0.011194654704321846,0.0
MAX,1,Keep in portfolio,180,0,180,12.04,2167.2,0.0,2167.2,0.023353986826851397,0.0
MU,1,Keep in portfolio,13,0,13,157.27,2044.5100000000002,0.0,2044.5100000000002,0.022031865821043724,0.0
NVDA,1,Keep in portfolio,52,0,52,178.19,9265.88,0.0,9265.88,0.09985014740641648,0.0
PRCT,1,Keep in portfolio,55,0,55,36.66,2016.2999999999997,0.0,2016.2999999999997,0.02172787174186991,0.0
PRU,1,Keep in portfolio,20,0,20,104.41,2088.2,0.0,2088.2,0.022502674091837895,0.0
QUAD,1,Keep in portfolio,155,0,155,6.55,1015.25,0.0,1015.25,0.010940446255980474,0.0
RCI,1,Keep in portfolio,28,0,28,35.66,998.4799999999999,0.0,998.4799999999999,0.010759730881725075,0.0
SPGI,1,Keep in portfolio,9,0,9,487.18,4384.62,0.0,4384.62,0.04724914992651771,0.0
UAL,1,Keep in portfolio,22,0,22,99.15,2181.3,0.0,2181.3,0.023505929985885455,0.0
ARDT,1,Increase,190,75,265,13.26,2519.4,994.5,3513.9,0.037866174931189156,0.05168803399924014
IDYA,1,Increase,41,37,78,26.83,1100.03,992.7099999999999,2092.74,0.022551597633824746,0.051595000735430545
ALK,0,New,0,19,19,50.88,0.0,966.72,966.72,0.01041748161002851,0.05024419932402758
CRNT,0,New,0,421,421,2.37,0.0,997.7700000000001,997.7700000000001,0.010752079843220526,0.05185798862083644
CWT,0,New,0,21,21,45.67,0.0,959.07,959.07,0.010335044364169607,0.049846599062494966
DDI,0,New,0,107,107,9.32,0.0,997.24,997.24,0.010746368504618535,0.05183044245892633
FLOC,0,New,0,62,62,16.01,0.0,992.6200000000001,992.6200000000001,0.0106965828737861,0.051590323085294876
HTO,0,New,0,20,20,48.41,0.0,968.1999999999999,968.1999999999999,0.0104334302536718,0.05032112068181428
IMCR,0,New,0,29,29,34.02,0.0,986.58,986.58,0.010631495165944561,0.051276400787300495
IMVT,0,New,0,61,61,16.23,0.0,990.03,990.03,0.01066867274741034,0.05145571070916814
LKQ,0,New,0,33,33,30.3,0.0,999.9,999.9,0.01077503295873418,0.05196869300738081
MA,0,New,0,1,1,565.13,0.0,565.13,565.13,0.006089903366306077,0.02937200467972909
MTDR,0,New,0,20,20,49.01,0.0,980.1999999999999,980.1999999999999,0.010562743580509293,0.050944807366571324
PACS,0,New,0,71,71,13.98,0.0,992.58,992.58,0.010696151829363308,0.051588244129679016
PFE,0,New,0,42,42,23.76,0.0,997.9200000000001,997.9200000000001,0.010753696259805993,0.0518657847043959
TEAD,0,New,0,591,591,1.69,0.0,998.79,998.79,0.010763071476001711,0.051911001989040785
TXG,0,New,0,85,85,11.72,0.0,996.2,996.2,0.010735161349625953,0.05177638961291406
TXO,0,New,0,69,69,14.32,0.0,988.08,988.08,0.010647659331799248,0.051354361622895126
UTZ,0,New,0,82,82,12.12,0.0,993.8399999999999,993.8399999999999,0.010709729728681243,0.0516537312315785
XPO,0,New,0,7,7,126.05,0.0,882.35,882.35,0.009508301161255228,0.04585916219128159
