symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,255.46,5875.58,0.0,5875.58,0.08327023135784822,8.327023135784822,0.0,0.0
ALIT,1,Keep in portfolio,700,0,700,3.25,2275.0,0.0,2275.0,0.03224188528436422,3.2241885284364216,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.78,10989.0,0.0,10989.0,0.15573893511643006,15.573893511643005,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.26,2519.4,0.0,2519.4,0.03570558496062735,3.5705584960627346,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,334.53,4348.889999999999,0.0,4348.889999999999,0.06163358790959063,6.163358790959063,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,12.82,1025.6,0.0,1025.6,0.014535067053909423,1.4535067053909423,0.0,0.0
COP,1,Keep in portfolio,25,0,25,98.48,2462.0,0.0,2462.0,0.034892097393452615,3.4892097393452612,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.25,3337.5,0.0,3337.5,0.047299908631457395,4.72999086314574,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.83,4051.1,0.0,4051.1,0.05741323141779687,5.741323141779687,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,75.77,2651.95,0.0,2651.95,0.037584117661481176,3.7584117661481176,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,81.63,1959.12,0.0,1959.12,0.027765152658595,2.7765152658595,0.0,0.0
IDYA,1,Keep in portfolio,41,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSW,1,Keep in portfolio,22,0,22,47.22,1038.84,0.0,1038.84,0.01472270774013579,1.472270774013579,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,12.04,2167.2,0.0,2167.2,0.030714115950889725,3.0714115950889727,0.0,0.0
MU,1,Keep in portfolio,13,0,13,157.27,2044.5100000000002,0.0,2044.5100000000002,0.028975321706696918,2.8975321706696917,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,178.19,9265.88,0.0,9265.88,0.1313184351730482,13.13184351730482,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,36.66,2016.2999999999997,0.0,2016.2999999999997,0.028575522329170797,2.85755223291708,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,104.41,2088.2,0.0,2088.2,0.029594507626729386,2.9594507626729385,0.0,0.0
QUAD,1,Keep in portfolio,155,0,155,6.55,1015.25,0.0,1015.25,0.014388384191187152,1.4388384191187151,0.0,0.0
RCI,1,Keep in portfolio,28,0,28,35.66,998.4799999999999,0.0,998.4799999999999,0.014150715436805265,1.4150715436805266,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,487.18,4384.62,0.0,4384.62,0.062139962661771,6.2139962661771,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXON,1,Increase,2,2,4,708.84,1417.68,1417.68,2835.36,0.04018345136697799,4.018345136697799,0.5393925327874778,53.93925327874778
NFLX,0,New,0,1,1,1210.61,0.0,1210.61,1210.61,0.017157076371034797,1.7157076371034796,0.46060746721252216,46.060746721252215
